id,objectid,statefp,countyfp,tractce,blkgrpce,geoid,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,shape_leng,shape_area,geoid_data,geoid2,nbr_crimes,avg_sfla,avg_aprtot,avg_price,avg_rmbed,nbr_parcels,nbr_housing,pop,crime_rate,avg_hh_income,lstat
32,261,12,127,83203,2,1.21E+11,Block Group 2,G5030,S,38825313,47302,29.2513179,-81.2404415,0.471901254,0.003608033,15000US121270832032,15000US121270832032,0,2663.3,308041.5,356547,3.6,301,558,1428,LOW,93688,0.130046705
1806,508,12,127,82100,1,1.21E+11,Block Group 1,G5030,S,547785,0,29.2031049,-81.0250028,0.035116021,5.08E-05,15000US121270821001,15000US121270821001,42,1114.6,58531.3,66471,2.8,21,131,263,HIGH,21563,0.878619616
5144,4440,12,127,82301,3,1.21E+11,Block Group 3,G5030,S,1923315,0,29.2011947,-81.0645714,0.063655227,0.000178431,15000US121270823013,15000US121270823013,87,1158.8,99391.1,118591,2.1,35,12,165,HIGH,25083,0.842086144
697,4542,12,127,91026,2,1.21E+11,Block Group 2,G5030,S,3818595,1094645,28.8982677,-81.1923211,0.109255496,0.000454504,15000US121270910262,15000US121270910262,0,1672.9,176236.8,196714,3.2,335,335,902,LOW,57275,0.507970939
5148,4443,12,127,90203,3,1.21E+11,Block Group 3,G5030,S,2661078,0,29.1281428,-81.3535566,0.070488878,0.000246703,15000US121270902033,15000US121270902033,0,1356.9,139595.3,164451,2.9,57,201,661,LOW,40625,0.680778412
5376,4645,12,127,90702,3,1.21E+11,Block Group 3,G5030,S,647899,0,29.0207101,-81.3219062,0.03723125,6.00E-05,15000US121270907023,15000US121270907023,4,1267.2,142387.2,155418,2.7,49,134,298,LOW,35694,0.731956409
1577,881,12,127,90102,1,1.21E+11,Block Group 1,G5030,S,149052116,9904075,29.1577781,-81.4776655,0.738305295,0.014742239,15000US121270901021,15000US121270901021,0,1523.2,207286.7,239230,2.7,88,1037,2003,LOW,42850,0.657685522
1574,883,12,127,83003,2,1.21E+11,Block Group 2,G5030,S,86151985,4374139,28.8402255,-80.8826752,0.418468076,0.008370678,15000US121270830032,15000US121270830032,0,1763,266950.2,270460,2.8,128,1551,2666,LOW,34250,0.746943435
11390,4222,12,127,91029,1,1.21E+11,Block Group 1,G5030,S,22209892,24073928,28.8685897,-81.2850481,0.388394428,0.004279243,15000US121270910291,15000US121270910291,0,2298.8,271252.2,312698,3.5,64,310,518,LOW,46364,0.621214323
5324,4601,12,127,90307,1,1.21E+11,Block Group 1,G5030,S,3166201,0,29.0206383,-81.2718432,0.071662038,0.000293232,15000US121270903071,15000US121270903071,4,1305.9,138037.8,152733,2.9,165,518,1232,LOW,31019,0.780477426
1966,723,12,127,80300,3,1.21E+11,Block Group 3,G5030,S,738127,401869,29.3205637,-81.0581111,0.045105598,0.000105881,15000US121270803003,15000US121270803003,2,1202.9,237435.5,265685,2.2,259,483,745,LOW,43324,0.652765957
5058,4351,12,127,90805,1,1.21E+11,Block Group 1,G5030,S,3415538,0,28.9449755,-81.2682079,0.088604931,0.000316097,15000US121270908051,15000US121270908051,8,2132.1,210797.4,240439,3.5,72,838,1088,LOW,47576,0.608635184
7748,7317,12,127,82301,1,1.21E+11,Block Group 1,G5030,S,13115707,0,29.2061744,-81.083754,0.165724822,0.001216833,15000US121270823011,15000US121270823011,109,1676.2,166836,187126,2.6,154,997,1804,HIGH,31971,0.770596783
7751,7324,12,127,81700,2,1.21E+11,Block Group 2,G5030,S,827429,0,29.2287391,-81.0666963,0.037973394,7.68E-05,15000US121270817002,15000US121270817002,7,1504.3,138660.1,158859,3.2,74,113,273,LOW,32961,0.760321744
9766,9582,12,127,90400,2,1.21E+11,Block Group 2,G5030,S,911772,0,29.0377735,-81.2952658,0.038995749,8.45E-05,15000US121270904002,15000US121270904002,10,1522.5,187714,206500,2.8,75,156,298,LOW,52875,0.553637779
5140,4435,12,127,80804,2,1.21E+11,Block Group 2,G5030,S,3813686,0,29.2482078,-81.0847272,0.087821943,0.000353964,15000US121270808042,15000US121270808042,3,1724.2,185367.7,210615,3.2,151,713,1346,LOW,34875,0.740456668
1154,7254,12,127,80400,3,1.21E+11,Block Group 3,G5030,S,620309,322818,29.2888638,-81.0431003,0.050706943,0.000087569,15000US121270804003,15000US121270804003,20,1260.6,196777.5,228329,2.2,78,39,87,MED,45962,0.625386611
7701,7316,12,127,82503,4,1.21E+11,Block Group 4,G5030,S,1718586,0,29.1269162,-80.9977485,0.053218938,0.000159325,15000US121270825034,15000US121270825034,27,1358.3,166176.6,190830,2.6,148,385,725,MED,50061,0.582843799
9774,9586,12,127,90600,1,1.21E+11,Block Group 1,G5030,S,1764912,0,29.0235621,-81.2873202,0.060781131,0.000163459,15000US121270906001,15000US121270906001,31,1182.3,125947.3,139450,2.8,105,252,634,MED,33466,0.755080436
5110,4394,12,127,82511,2,1.21E+11,Block Group 2,G5030,S,1243105,1394500,29.1316143,-80.9789771,0.082450435,0.000244538,15000US121270825112,15000US121270825112,36,1322,169354.8,200276,2.7,71,385,616,HIGH,37143,0.716917488
1815,515,12,127,82201,2,1.21E+11,Block Group 2,G5030,S,518563,0,29.1907066,-81.0136771,0.041176196,4.81E-05,15000US121270822012,15000US121270822012,27,942.4,56690.7,65370,1.8,44,16,15,MED,30069,0.790337312
6894,6336,12,127,83207,1,1.21E+11,Block Group 1,G5030,S,13654980,0,29.1091092,-81.0559497,0.157600066,0.001265694,15000US121270832071,15000US121270832071,51,1948.5,240158.5,272313,3.5,842,1073,2070,HIGH,56413,0.516917488
297,2628,12,127,90101,1,1.21E+11,Block Group 1,G5030,S,89334597,7873140,29.1710015,-81.3410428,0.489932967,0.009015539,15000US121270901011,15000US121270901011,0,1951.7,247228.7,271379,3,68,266,635,LOW,54509,0.536678775
4929,4217,12,127,91020,2,1.21E+11,Block Group 2,G5030,S,3386382,0,28.9463555,-81.1910012,0.103090302,0.000313403,15000US121270910202,15000US121270910202,0,1510.6,163385.8,178420,3.2,324,379,1025,LOW,53852,0.543497665
5104,4390,12,127,80803,4,1.21E+11,Block Group 4,G5030,S,2089557,0,29.2735585,-81.0684725,0.057214773,0.000193988,15000US121270808034,15000US121270808034,10,1523.3,160927,183301,2.8,134,195,387,LOW,48816,0.595765439
5317,4596,12,127,80807,2,1.21E+11,Block Group 2,G5030,S,1467910,0,29.285376,-81.0888459,0.058008994,0.000136291,15000US121270808072,15000US121270808072,21,1758.6,185680.8,210147,2.7,212,352,628,MED,40417,0.682937208
5327,4603,12,127,90902,4,1.21E+11,Block Group 4,G5030,S,1804087,106906,28.8763559,-81.2933219,0.060146492,0.000176741,15000US121270909024,15000US121270909024,0,1331.9,159746.3,180322,2.8,136,290,612,LOW,55938,0.521847431
5336,4616,12,127,91020,1,1.21E+11,Block Group 1,G5030,S,7759743,50106,28.9513531,-81.1711284,0.107593718,0.000722822,15000US121270910201,15000US121270910201,0,1538.8,167137.1,182181,3.2,309,774,2175,LOW,47540,0.609008822
1794,497,12,127,81800,3,1.21E+11,Block Group 3,G5030,S,646975,0,29.2056567,-81.0450779,0.036349087,6.00E-05,15000US121270818003,15000US121270818003,20,1208.9,97985.8,112004,2.8,25,132,293,MED,21556,0.878692268
9158,8899,12,127,90600,2,1.21E+11,Block Group 2,G5030,S,1115436,0,29.0202383,-81.2946246,0.045100039,0.000103304,15000US121270906002,15000US121270906002,30,1530,138538.8,158639,3,85,86,261,MED,17141,0.92451479
5370,4642,12,127,82701,2,1.21E+11,Block Group 2,G5030,S,587752,747469,29.0431693,-80.8999984,0.055466569,0.000123685,15000US121270827012,15000US121270827012,27,1398.8,405661.2,461049,2.3,161,368,514,MED,56477,0.516253243
4931,4218,12,127,90305,1,1.21E+11,Block Group 1,G5030,S,31375161,1215435,29.0572046,-81.2255757,0.248645642,0.003019226,15000US121270903051,15000US121270903051,0,1532.5,178622.6,171275,3.1,496,1021,2567,LOW,50098,0.582459782
4934,4219,12,127,90702,4,1.21E+11,Block Group 4,G5030,S,4396924,0,28.9939845,-81.3138657,0.096232632,0.00040711,15000US121270907024,15000US121270907024,1,2124.4,234512.7,266591,3.3,141,206,458,LOW,60958,0.469745719
1839,535,12,127,82405,4,1.21E+11,Block Group 4,G5030,S,556855,0,29.1650574,-81.013478,0.039833691,5.16E-05,15000US121270824054,15000US121270824054,3,1546.6,170802.2,193536,2.9,59,16,30,LOW,61103,0.468240789
1840,536,12,127,82406,1,1.21E+11,Block Group 1,G5030,S,2163201,0,29.1526277,-81.0085192,0.062765673,0.000200592,15000US121270824061,15000US121270824061,6,1584,186044.5,211443,2.9,216,424,938,LOW,61985,0.459086663
4937,4235,12,127,80901,2,1.21E+11,Block Group 2,G5030,S,1178725,0,29.2548125,-81.055363,0.054569723,0.00010941,15000US121270809012,15000US121270809012,11,1395.9,144975,162570,2.8,44,109,242,MED,41544,0.67124027
4938,4224,12,127,91019,3,1.21E+11,Block Group 3,G5030,S,5300770,812084,28.9265002,-81.2121264,0.109322133,0.000565624,15000US121270910193,15000US121270910193,0,1680.6,171405.9,192835,3.1,156,125,333,LOW,50000,0.583476907
706,4580,12,127,82703,3,1.21E+11,Block Group 3,G5030,S,933901,658139,29.0220216,-80.8861274,0.050984784,0.000147447,15000US121270827033,15000US121270827033,6,1361.3,360045,414825,2.5,191,107,93,LOW,67879,0.397913856
4317,3573,12,127,80400,1,1.21E+11,Block Group 1,G5030,S,1105937,964956,29.2952836,-81.0460867,0.058349084,0.000192294,15000US121270804001,15000US121270804001,2,2651.7,451429.4,540112,3,96,94,198,LOW,73214,0.342542813
4939,4225,12,127,91027,1,1.21E+11,Block Group 1,G5030,S,2269828,865646,28.9192982,-81.1975888,0.085952327,0.000290097,15000US121270910271,15000US121270910271,0,1589.8,165096.9,181657,3.1,287,427,1069,LOW,49809,0.585459263
519,4230,12,127,83206,1,1.21E+11,Block Group 1,G5030,S,191436609,733033,29.1712727,-81.2246774,0.612612119,0.017824622,15000US121270832061,15000US121270832061,0,1945.7,254640.6,261563,3.1,54,218,3706,LOW,78696,0.285646082
